minimum,maximum,mean,median,std
-797.1068785371455,499.88772155605767,-81.78269373509934,-112.76593207790869,301.5673308692584
-761.6324521364711,581.5116003128826,-149.4656176292969,-170.02534162563225,335.73276884429816
-782.4902987635205,265.36160961591844,-260.39704470898994,-235.17941186950662,259.8390412890413
-844.4047535637277,475.22814930932554,-294.0274288790754,-335.5122695351422,328.7555801135422
-949.5217864455612,367.375868770373,-410.4546520946946,-402.2557168231198,321.9859212175989
-924.9578611266145,32.43910010703016,-503.5270218202071,-508.9987262932829,275.6678772426291
-922.112755830132,568.9095253119083,-586.1477581713679,-564.9044245282018,318.7027194380922
-922.8878591342573,150.11037352903833,-542.4664390320257,-507.8975488879181,306.3490457235656
-926.6664746729589,155.43902535496449,-634.8687402054046,-561.6029686865536,246.57953099396795
-1327.0872049946352,-379.3376964727203,-803.0633532481969,-840.4648860305176,205.7119740487751
-1349.432153327182,132.6851932944075,-821.1573056438081,-914.3576660017485,295.5159628375246
-1358.287125103588,-62.00078814663448,-829.8283716004296,-913.0610677191306,314.9525187714635
-1393.3749098469123,-294.5372020393156,-924.1278600194382,-921.357146783462,247.98416792344005
-1395.568878569669,-284.42565340700094,-985.7677060179889,-925.1223520571248,279.93720143709015
-1400.8904651349285,-57.81892768151473,-1115.801869420726,-1254.4256567798207,304.77541569174093
-1405.989531246063,-859.1401610802277,-1237.3044953399285,-1318.070649184585,197.51580075931705
-1395.7018364978376,-891.5337536103088,-1306.8238821510338,-1355.8376467568783,136.39171212305604
-1394.671742683204,-1271.1312605695725,-1362.0453889916137,-1371.8199849499138,32.57087903091368
-1395.6956079830227,-1302.5000653091365,-1372.3075030084847,-1376.4773690025074,19.99260149426795
-1404.5308449919278,-1328.3668923982148,-1380.0379197828333,-1384.2449647671153,19.455190586633012
-1409.792804413031,-1125.990497043275,-1382.9805205856023,-1393.0002019980143,49.860817773893125
-1409.9363146945234,-1379.4413980616314,-1397.9892062203742,-1398.0966565601116,7.823146552448206
-1423.4311541685388,-1381.1958190768655,-1402.7416368340828,-1402.1885280644042,10.350065404148493
-1433.8469586175124,-1385.0953894896134,-1410.413704818749,-1408.9582902701704,11.917620216408814
-1447.7580684498969,-1382.023672897388,-1416.3187813848094,-1418.2791294834205,14.07639026453706
-1452.108724594846,-1383.9496112342463,-1424.5556347228937,-1427.1447136199993,14.23727898067154
-1457.0635579251473,-1399.493900010396,-1432.1822454416113,-1430.97919006863,12.921497651531464
-1466.3401156298387,-1410.1796769965208,-1435.6171814180723,-1437.0746827716612,11.817280483947254
-1461.3814088254449,-1425.438260851383,-1439.625179410579,-1438.6092821333018,9.803320704260074
-1461.024390118276,-1335.9445499536564,-1432.5425166876673,-1441.8338102599732,33.44846761926812
-1499.4379887408595,-1002.0707303095608,-1431.520583742203,-1443.3645714833492,82.132657288556
-1486.2448662165516,-1425.9620829732387,-1451.437193317903,-1449.5234641230775,11.70030018648202
-1508.9679008345543,-1438.1709579439612,-1463.110803907292,-1463.5436342692515,13.177054196700878
-1515.267775393484,-1442.7058810466926,-1470.813843537954,-1468.6662248834039,16.872576159007476
-1535.2992749219213,-1026.9320087567362,-1423.742256198965,-1472.8499474053199,135.88018859170194
-1534.924596078762,-1025.8128182711205,-1433.4181993336472,-1477.738439823538,122.31369689298428
-1527.21728462562,-1007.1741360491308,-1420.68650855878,-1479.065260358167,149.35061807355694
-1525.3718087890502,-1020.9488894303574,-1375.2060445516718,-1472.1095786300584,162.75200616943886
-1524.98927362422,-1027.0552802055347,-1383.8910784713057,-1479.3766452133402,172.95494120760682
-1534.6420657390422,-1217.9910457625808,-1444.5448825291485,-1487.2181098424771,99.7385910461907
-1537.393900296784,-1043.7406051693279,-1431.3766655933298,-1484.1302520448326,145.29947434277068
-1542.7074919338536,-1040.6321555125724,-1404.627207368431,-1483.7552051909236,166.3771565074136
-1544.8176926756566,-1044.474795141648,-1405.0006536705664,-1481.3676732665378,162.60139318053933
