d10,d2,d3,d5
0.00010873879450689391,6.696780869802453e-5,2.0050529414913153e-5,3.9009585374694876e-5
0.00011334679905421282,5.5868787519191726e-6,2.509602400965973e-5,7.112974657029083e-5
5.258025877060407e-6,4.20585775351155e-5,5.847665463208619e-5,4.34504605907697e-5
0.000190799369105873,8.467001454731933e-6,7.065705591980001e-5,6.77308588269216e-5
1.6063933491876008e-5,7.818723329255775e-5,2.8570695836809585e-5,3.419707056018238e-5
0.00013867491647116082,2.52609330976259e-5,9.493814835139355e-5,0.0001812205832807551
5.587662958851575e-5,8.644875429699549e-6,0.00024038455498057897,1.834035535923376e-5
8.804522113815655e-5,0.00015741470984209524,3.0921193777846035e-6,5.521496821653828e-5
1.8902393117966222e-5,9.697930549160798e-5,5.38217839892551e-5,3.397173608058344e-5
9.354728118796299e-5,6.211100603595401e-6,5.2044894037111635e-5,5.465878327196807e-5
6.565721823603305e-6,2.3621586084554447e-5,6.496058907378506e-5,5.89957176036601e-5
3.0105898447940445e-5,2.3621586084554447e-5,0.00016611245270083328,7.982452711755357e-5
8.032383067846003e-5,0.00012175557524347726,3.409064778773825e-5,8.732564223425138e-6
8.904078434841292e-5,0.0003380863733578085,0.00021354785556167068,1.4328325750755555e-5
0.00023291797556150557,1.6926592838476532e-5,7.32824025748881e-5,2.1038162048059573e-5
0.00011553848675476812,6.994508941900557e-5,0.00020109428115878362,0.00022072428919573924
5.0923238036908774e-5,2.2160607145238397e-5,8.904617292230065e-5,2.5830023312990815e-5
5.964438677322238e-5,3.121230740957367e-5,0.00011032313647574862,8.212234840522702e-5
0.00010866939170705251,3.6648832037731335e-5,0.00036330900746896135,3.9594630885690444e-5
0.0004287482823380797,2.8152226419691743e-5,7.24228484272464e-5,2.470612286302689e-5
6.37572254223962e-5,4.855645575217485e-5,0.0001425653892328378,0.00022445377604717666
4.679742397784207e-5,0.00015993832552862685,7.016508281066766e-5,5.336897640211683e-5
8.86439008375926e-5,0.00012275213192836125,1.8465185108634645e-5,3.817572116125007e-5
2.000383805886105e-5,0.00013703080134990143,1.8465185108634645e-5,5.7809993106743266e-5
0.00033478057587850375,7.032930419736158e-5,0.00012059874538313157,4.0078044436359965e-5
2.7562594584684827e-5,1.5358290590153368e-5,7.011612524111757e-5,4.372018223136402e-5
0.00023910994270514102,0.0001132661006274005,8.733665794858272e-7,1.4986363486591902e-5
0.00031941351939414987,7.539155803418361e-5,1.8051133671951087e-6,0.00018148550242089818
3.2194742709889764e-7,0.0001061731514508978,3.472733821040228e-5,0.00010638135156745102
4.454996006864587e-5,3.8652490061311845e-5,3.5680199537220603e-6,7.21965636026824e-5
2.36189132856502e-5,1.5844935338864574e-5,0.00021978173869752053,0.00019854363845031397
1.007569374951254e-5,3.3351410121089345e-5,8.268333774304712e-5,1.381536801897221e-5
