minimum,maximum,mean,median,std
-284.34327196257163,435.2813186986355,-8.437288875567598,-22.893643551757876,177.59039061598722
-269.85618774312735,435.3183845178107,-61.97688649136481,-93.30718264777953,176.79000073124135
-280.3717844939135,235.44682830855925,-165.6013810949714,-213.8285672031564,114.47525123409258
-280.7010243719004,263.35051348134357,-163.59870390095887,-229.14999365080115,156.07308396652644
-283.9492156103889,264.05311300289475,-153.02021873036574,-257.4426073415701,182.68047592151171
-285.60807817411563,25.185104391172565,-224.8423043578006,-267.9641594012206,93.75045825802043
-287.3453607431633,-22.362483336029825,-261.6402218673365,-270.57603037037336,46.42667730687353
-286.9815911616587,-168.85599776246167,-266.0533466483924,-272.1157097027446,27.045201334723952
-286.91500516511627,-265.4882874807931,-274.1280955292694,-273.0697488823282,5.861001709948756
-295.5948761773497,-270.5722135209568,-280.3188977102578,-279.02633650205195,7.106512577608678
-297.8409991792268,-268.1962370046545,-284.63548378727796,-285.30342866142644,7.174383639675294
-296.6920598485167,-272.62115951185797,-288.96672860197174,-289.82923376781855,5.297460884681089
-299.32269815823605,-286.5081643345537,-293.09886275193395,-293.1268970848776,3.4985527622018022
-301.6713850286998,-286.96308182677984,-294.85259267209705,-294.7856971931195,3.7857888227244625
-304.6941996724341,-289.5273376072137,-297.4831824436293,-298.20442983384055,3.9060057059055437
-304.46503778821153,-293.7300816951678,-299.1944149983502,-298.90971104709007,3.4332803698318797
-308.5780993266691,-293.8837474567915,-301.6494744855181,-302.9404460444274,3.7459512341309766
-311.4242096419139,-295.5614456286326,-302.0752163474188,-301.7098262631257,3.2440076700951908
-310.59856134951536,-299.26786349162415,-303.56214206039164,-303.512871659184,3.1013590557678734
-311.93010517139936,-297.9571529901103,-304.5853599288906,-304.93332943737596,3.5724555861529983
-314.744726237418,-302.32032674384743,-307.4134097193925,-307.2843539276222,3.18519116896118
-314.45380140275375,-299.43213601745714,-308.7106418910758,-309.4188916805647,3.304382148229262
-318.0081133282259,-302.11579758394674,-310.57640129216026,-310.7329257437174,4.080248024063212
-319.2084189478955,-306.3719769236477,-313.31986607155903,-312.79519501665834,3.097362396637416
-320.57459163380724,-305.9514513220596,-314.34206813530074,-315.14965351088955,3.559499135895134
-320.93410923315616,-309.0347633219768,-316.22609035962466,-316.9939109191138,3.2206497208763825
-325.1824836119089,-310.76628459273115,-318.3887066015294,-318.77182792070016,3.6404280408629544
-327.24968864687014,-313.1951096683575,-320.39025140051615,-320.7335305381276,3.5367393103509515
-328.85431328624753,-317.91696335816505,-322.27409573900997,-322.13371365996636,2.917463711124033
-331.65593575709687,-320.92690738186667,-325.67243377223247,-325.6938208700678,2.8869870010115806
-334.1610880595652,-319.8766078271999,-326.63380346898583,-326.0938782532023,3.4668925672685154
-335.91668459591466,-320.8958997489492,-328.20620386760464,-327.90611325464306,3.273989510061726
-337.9176744223806,-322.8595981084505,-330.74613195764545,-330.9842995363032,3.371954479258339
-337.8203864559016,-324.089843614915,-332.2417129596597,-332.37760438817645,3.335004187526482
-339.12969129829855,-323.60846430272045,-334.3367948450047,-335.09534695469375,3.5451024291414073
-340.6394620200547,-329.60711539647184,-336.37877979383563,-336.1972880413004,2.26657314705723
-342.37215938169595,-331.8122512478143,-337.69039385267894,-337.7318787628408,2.2890603697242233
-343.5701679359826,-333.9315802291887,-339.3634514891606,-339.38843605647685,2.5190503065676317
-346.5176085655259,-334.3099842063177,-341.0817117625084,-341.02540911130313,2.398168226667048
-347.85945724134467,-337.2010014415259,-342.50855210246897,-342.4840891925409,2.381261217117369
-350.27942669707915,-339.20873353159186,-343.8677512919979,-343.7697373003286,2.2426672813106054
-350.7689840913109,-338.2075428949566,-345.08076327593545,-344.79046157871335,2.9242491929898726
-354.0707730118558,-340.9679188575733,-347.45425275788045,-347.53815823276204,3.6065674979372706
-355.9627489229294,-341.31591707076063,-349.2240945631703,-348.5362779750559,3.673366299892938
-357.73247410695035,-343.06412179947364,-351.0903169255003,-352.2546389907636,3.610799739920477
-358.48085116183233,-345.9002814727619,-352.9348079272493,-353.1916775694459,2.679374889942064
-357.2249328996564,-349.5890848191456,-353.8767274121481,-353.46502331264867,2.182716872122793
-358.4617670036829,-350.22303252993936,-354.99703752793783,-355.095490291117,2.1320466336470125
-358.34644148607634,-351.4166949013542,-355.69266332719894,-355.6453420507669,1.7042714918437956
-359.8844582949231,-355.5331662439359,-357.4438326591668,-357.21626848891503,1.1957005657319335
-360.7797272285539,-353.59270733359006,-357.818431398229,-357.63783785413636,1.84364935885068
-362.5372373165201,-354.2309572289299,-358.72129512762365,-358.64451287227337,1.8875760378388333
-363.96928263706434,-355.99998229544883,-360.0947371982223,-360.15041894706854,2.11217883972335
-364.30780623540335,-354.88768657017005,-361.25104329003057,-361.62200235797366,1.9814895425137637
-364.9681165802367,-359.22264877401653,-361.9242691101996,-361.84255925468733,1.4730139348865805
-364.59237813893435,-357.976205256983,-361.78647711836055,-361.9813787408648,1.6577671521795627
-366.1605990598289,-358.68546158735774,-362.62324764737315,-362.9544408014889,1.7807483198094853
