minimum,maximum,mean,median,std
-1.7153713811024087,-0.00020629380835536905,-0.7352716996098624,-0.8483856304160668,0.5420235004136255
-1.8648905125665063,-0.006193232416696369,-0.8970205034299614,-0.8929164655199926,0.48186828741134285
-2.642367163855042,-0.1401458888443981,-1.092690013117226,-0.9980895854463216,0.6081208192908125
-2.4954928067956543,-0.02041891814932848,-1.2437572892628928,-1.272623811890671,0.616836946745303
-2.551642931527598,-0.2002264981779534,-1.2820980819798813,-1.2440635121808326,0.5955619736691332
-2.900479554513775,-0.10487222828580396,-1.3778978595323388,-1.236671314438611,0.7030581131947158
-2.5844964789517753,-0.01451070906935865,-1.5607027191837173,-1.624175683603902,0.6141431760701507
-3.079954299079156,-0.34452808584439515,-1.6083287557339667,-1.6283156644943184,0.7044989234168386
-2.945020070919686,-0.33000269757556816,-1.5210318441597381,-1.4759609884192817,0.6406295226365021
-2.806721849742843,-0.7719829102488263,-1.6275123978334043,-1.6482595395132078,0.4913485746564646
-2.507588130012379,-0.4539210207521236,-1.5854617113934986,-1.6254713340188847,0.48882975178988847
-2.7014300486175395,-0.5761162223833233,-1.5845157469030728,-1.5809318265838819,0.5588984716858647
-2.4161726355203847,-0.33109563010764703,-1.5648866469181688,-1.657822565188837,0.567552064723618
-2.6320731444775842,-0.423971093796241,-1.5443260888803891,-1.5126758212004907,0.5744425218612728
-2.5258014052363174,-1.0751321660600062,-1.6836856604549293,-1.610549536921679,0.36868948868952356
-2.4177515949294532,-0.37540663622220366,-1.549547663482659,-1.5784019343628788,0.5085975455311259
-2.0726112670123875,-0.5845374487513237,-1.505413510216601,-1.6151852867244014,0.4207845001263042
-2.5149369530856633,-0.24728445771080598,-1.4262535959310583,-1.5156307371222755,0.5768138003132405
-2.7791011261281886,-0.6518100938939758,-1.5438951650947885,-1.4668536870233182,0.5069003420729365
-2.5379332735985507,-1.0947566374096391,-1.782372599697385,-1.7206221247244455,0.3588366542668058
-2.960727547408177,-0.4896597296526053,-1.4973400375232115,-1.4698862699449031,0.5428180267306014
-2.834021241432161,-0.17452790485349687,-1.2716375567250569,-1.1708308277264812,0.6362093342535772
-2.993723797736902,-0.3066401933735802,-1.5202335749009923,-1.5780837121065021,0.6681614276807726
-3.4244986128450736,-0.6563655558485257,-1.8752816965506278,-1.5581295397753214,0.7279681236706841
-2.979388929365274,-0.8182650481546463,-1.7339234077811594,-1.646822140774098,0.5999192447599357
-2.9997777417282494,-0.11361622582024782,-1.8900714467057431,-1.987903908004448,0.6978029527837603
-3.177044518513117,-0.5701701352082849,-1.698358680036432,-1.6928685862281698,0.615868388136175
-3.1837262483272317,-0.6840478729309488,-1.771979149618056,-1.5996850870111743,0.6769672264221229
-3.073188145757242,-0.6364920039274568,-1.8008044596402557,-1.7359997812979044,0.5934587992783735
-3.4822718418870147,-0.9969633924692729,-1.9519302071664293,-1.755538233749101,0.7069452845355003
-3.3735968255131263,-1.2021146693622111,-2.013498091337266,-1.8975122652869092,0.6180646970940961
-3.471834880598854,-0.9537768189606777,-1.9794566150855124,-1.9426176732867726,0.5458716315150014
-3.18984219565672,-0.22309424501134745,-1.8322566607023631,-1.8498609465779112,0.7312392652489321
-3.097502198609718,-0.6070959702936866,-1.8248966523790648,-1.8091354354708342,0.6744805722027113
-3.730397772411066,-1.3546672805588549,-2.1309403269257543,-2.0285391732050675,0.5895189056809453
-2.8162553412112326,-0.4749158013980178,-1.8705702176027146,-1.9443183001240811,0.5479776811303622
-3.3099681981928946,-0.408489671109584,-1.7372541696605273,-1.7330772740196254,0.7772112542553599
-3.248366721271947,-0.42344619131075223,-1.7882161594124293,-1.812998918238907,0.6660067667754122
-3.4009996164577854,-0.31895060845315143,-1.811730980574189,-1.832200812990727,0.7282617984447408
-3.3210338156328985,-0.8536213025542845,-1.9409776426888488,-1.8058314779077718,0.5961867961879
-3.021480652525328,-0.1043523671752192,-1.8572452865000848,-1.9193708523817823,0.7382666259896261
-3.4346337177804473,-0.033464799352463215,-1.6587041896150818,-1.4834832639301085,0.7699740129746582
-3.269591273037878,-0.3029818694033412,-1.738664849651038,-1.6774610111803088,0.6998260355358148
-3.5556812201748844,-0.3823167477577205,-1.812598452845166,-1.6551511385848112,0.7025238703398711
-3.1566227369327944,-0.6956310540198634,-1.9291502731617378,-1.9698697013799549,0.7302038399079622
-3.392524976202932,-0.663253787072958,-2.1974231670186386,-2.384425529542307,0.7217952065588719
-3.63289497306234,-0.800698663310399,-2.099452945533629,-2.229645230443443,0.6507800012225416
-3.5844973204150152,-0.7206204086806662,-2.1588767043574055,-2.0660837388289233,0.7518730093749745
-3.4456332162077246,-0.6441112171270327,-1.9387822018599634,-1.9253592986967782,0.7189369271992131
-3.618049045035322,-0.9723818172075235,-2.165108291062178,-2.138435060796552,0.6912866284662986
-3.861937540739903,-0.6608961527325775,-2.1055324722006064,-2.207452853252892,0.7311649665678386
-3.5262391931435086,-0.6259335020181775,-2.001425709689693,-1.8683862489938254,0.7384650339544199
-3.454717090890134,-0.9477048761798857,-2.1132802238742157,-2.1338948817153356,0.6666182086370703
-4.2215125134125735,-0.6156412162394067,-2.1424152048269804,-2.2121061070897516,0.8902264530146939
-3.259063468011075,-0.8759575707418492,-2.283817816368384,-2.417949548100398,0.7172870274923411
-3.421789202258473,-0.15871959883814984,-1.8515552247667546,-1.9427653883414224,0.817373430156902
-3.6628575754954955,-0.11549005334898206,-2.0072715858869317,-2.0817607389759045,0.8335172026000404
-3.3663309280768177,-0.5230777479918054,-1.8832818000085356,-2.017021713828243,0.7599246979142529
-3.3933453389893455,-0.4921286808017497,-1.8996812245893773,-1.8692576086462576,0.6564947523856132
-3.4642132402004537,-0.9068804060283037,-2.044425916677391,-1.9627995899533164,0.639070697929283
-3.6865475486989543,-0.5423769488434476,-1.9538773301591188,-1.9763199296046927,0.8348048706112635
-3.1516374750888496,-0.34931150842544423,-1.7475115432918584,-1.7681448675447236,0.6861330217726872
-2.90808615562045,-0.6868786547074291,-1.8363153616464687,-1.8036679997911733,0.5567339018802183
-3.05369105139525,-0.16945348465696378,-1.8216705047366049,-1.878218331112485,0.6370140486504555
-3.5071070588075433,-1.1950892183216868,-2.093472952859649,-1.930016556084757,0.6442030680760812
-3.481013249639652,-0.6629797639375282,-1.9565960619231362,-1.9747624243114237,0.7227194568750329
-3.3998911601101773,-1.2257445867557801,-2.1887145702417405,-2.089163419946607,0.5595753691404924
-3.2376911974156855,-0.8547433825319228,-1.9514383025466735,-1.842642995420658,0.6387060250344463
-3.6895221055791954,-1.0159641044310272,-1.9839555130899698,-1.9336265590035198,0.6636914193887439
-3.497605922553269,-0.993631995420507,-1.983644659378407,-1.8812043413895145,0.6820419473898168
-3.141716265529764,-0.7272534709322771,-1.9954072888329455,-1.9869897033873327,0.6820675687538627
-3.3110620857735986,-0.7036689246642867,-1.8311010567504413,-1.7771770819820127,0.6157330181562167
-3.571364285661002,-0.32709968511452703,-1.9264250912090464,-2.029969465476379,0.8755032072690363
-3.7752889709487336,-0.49531250974358165,-2.205648221137738,-2.2906961774022125,0.7690960214486348
-3.5302222599356137,-1.3618819213194258,-2.3024688364111414,-2.4264827494495282,0.5448755083192095
-3.4840638962371644,-0.7742215470380095,-2.1279377421106997,-2.228337810110826,0.6369142044692985
-3.405548300377701,-0.3629182972491626,-1.9414236600745736,-2.0190641202597637,0.8287067056398945
-3.6970035642551915,-0.6465371760740221,-1.9768119260186898,-1.9363657731079869,0.7935599288976081
-3.278418315710591,-0.8871755364796432,-1.9571215767395997,-1.8751817711666388,0.6172372800768294
-3.934248685443153,-1.2011551583487838,-2.0078232891186416,-1.8834208933943717,0.6547843917217694
-3.599209342599238,-0.29062976982516886,-1.9727977306932516,-1.945018353429652,0.7723826445503317
-3.271440037778912,-0.5926700537301577,-2.025597258387938,-2.044186891471742,0.6914820397553545
-3.7789556243508704,-0.9125156894047942,-1.9840128587095769,-1.9500504557721414,0.6628870865936701
-3.1229919081320334,-0.5490323037260869,-1.854429571206802,-1.9859463247904883,0.7104047672189672
-3.3678598235699706,-0.9494724455680047,-1.9282281067013591,-1.790215526980446,0.6182333088026637
-3.3078764510852796,-0.21863147253836232,-1.9236567869322378,-1.905562718211749,0.641382234543757
-3.0147967940580656,-0.6544751750551414,-1.8962209632365323,-1.9153342827382964,0.6186333612507389
-3.533930570312693,-0.5113375420545511,-1.9664520283639182,-1.8848772451966078,0.6747533164662891
-3.9190584870782987,-0.27209169231873537,-2.04745526885532,-2.059185317927631,0.906991034904236
