minimum,maximum,mean,median,std
-391.0722926931962,422.40181101118645,-37.06611953117463,-26.562723607638652,214.06866404955434
-362.8361713873246,422.36316201603665,-65.68727912012751,-45.346045256023686,182.7361063737994
-407.2791864113726,401.89302054703376,-125.38936737827713,-85.47936097538806,204.59069645363337
-407.4926346059833,354.3869446522933,-227.19534222966345,-357.0676863672005,201.68275385266793
-410.33290793562145,182.51541661643978,-219.92856116738398,-356.1632905265931,201.69322674330311
-410.9903961383866,-5.147118165041068,-347.75227643182046,-403.92183030363213,114.7673798420555
-410.3546196439297,-356.85125099429354,-394.3875893299781,-407.5351423949912,22.11897984022987
-411.2773781610917,-357.224070338916,-402.96064592110446,-408.4308261787581,15.2399946001666
-413.14629587095465,-399.5485119239077,-408.7134151718349,-408.7068078524681,2.4791113491808887
-462.90775925702116,-407.2413943420499,-415.80314906077155,-411.2607175033999,15.932716609759087
-463.4044346712055,452.4758399754862,-327.5628252775093,-411.9501462713504,265.8775408034741
-462.84890909068764,451.8614888480932,-342.3030278723312,-413.0095073314918,270.09470847557856
-463.40920299474493,451.0464284055471,-234.54528168585833,-461.16086793613766,384.10783718892554
-463.99324881486876,445.77197990028486,-404.4083106194345,-461.45362523252675,165.70161331546188
-464.19101848937277,447.9058718855272,-411.74523415980104,-462.72257910035285,166.77135587664094
-464.78136032839836,452.0148620552169,-395.33881331283897,-463.13781746678194,231.2579071748052
-465.4876318658469,-354.71646075299986,-456.4951137955251,-463.60000570081115,27.495145794346605
-465.85467943710455,-463.12435275936986,-464.48527881775385,-464.4903692247756,0.8784193562936751
-466.35478270721404,-463.6219364481365,-465.2209509455951,-465.3414387384371,0.642550554604339
-466.94887680329947,-464.89401000755976,-465.64120845197584,-465.6380819032908,0.49670352081254926
-467.15630078747154,-465.1426516534216,-466.0271881328022,-465.9238193225817,0.45237987233647864
-467.27166877786556,-464.9467662512942,-466.1139153110701,-466.1935618036346,0.531180477744668
-467.5940175498425,-465.25662619836834,-466.36123527105053,-466.3588240619715,0.5903312874859576
-468.1840086422302,-466.0484371062113,-466.7784392339728,-466.6666913761162,0.634839355447754
-468.3168965084939,-465.7333952172755,-466.9493223237854,-466.84812420638787,0.701996454063713
-468.720119066556,-465.8995767211694,-467.40285961924053,-467.4178147533921,0.6883085777400832
-468.64281357189225,-465.9744846730656,-467.8041758736401,-467.8826384037111,0.5634956796819195
-469.1576766181521,-466.9480960538954,-467.9895321275845,-468.1966232574182,0.5520969645867781
-469.0476958792097,-467.1233652551761,-468.28343985459736,-468.2625459674464,0.3807531049372478
-469.839253196943,-467.9331012017018,-468.6827662563285,-468.5724760040971,0.46874579232630903
-469.9102585822251,-468.22771695465565,-468.8928342525071,-468.7843385616218,0.47319156254466316
-470.1446867799478,-468.0996120527091,-469.2930735772539,-469.49964852203857,0.5114867727341523
-470.3462739426507,-468.81988547599417,-469.6143283329784,-469.67852411070646,0.42223416128984037
-470.4440132619289,-468.5968955212455,-469.8903877686984,-469.9566809019983,0.38428524065236175
-470.79399697164604,-468.5728854055182,-470.0386131255434,-470.0597922354846,0.5002206486404556
-471.0171687255548,-469.3246109412601,-470.27792996688373,-470.2782078170013,0.4442671266611653
-471.38679510330593,-470.13366447339047,-470.612051033986,-470.55927131439984,0.32354714661717604
-471.3525747474168,-470.2005211408821,-470.82714733803715,-470.8722810405317,0.34088949477697816
-471.47749123229767,-469.71289777333874,-471.0033936693418,-470.99396637162636,0.346730252687785
-472.3530927752228,-470.83457933283967,-471.3574803982966,-471.3329971131875,0.3791369158895066
-472.7877064557337,-470.8790413290187,-471.57719249718645,-471.48844347761576,0.45934471771654606
-473.0883212906009,-471.0557847610781,-471.97596566200326,-471.89108951850636,0.5585198287841159
-473.24282587277975,-471.2324285742967,-472.2020120724288,-472.19746835799305,0.5151049285695368
-473.4252273332711,-471.5226029500004,-472.56807874323357,-472.7317301163737,0.5154566052660745
-473.71160123147587,-471.72458070479126,-472.7995033866438,-472.7887638914127,0.39509574494340505
-473.7108025252048,-471.5149694946729,-472.84293003879895,-472.8787472825895,0.4248848733802182
-473.86761082868543,-471.9872998804939,-472.9368452648761,-472.89437882557013,0.40906466045537043
-473.7977123244801,-472.32162479084576,-473.12172523277815,-473.1704079302325,0.42201034504239127
-473.9593483229796,-472.3460966656503,-473.33704088040463,-473.4255235686287,0.43041447240552516
