max,min,avg,median
-1.2802835739916617e-13,-1.5397093321982296,-0.5137439667140383,-0.4089450906876029
-0.0004336010435651301,-1.5482006679450708,-0.679530262968396,-0.7303432368198408
-0.014914878487561293,-2.10927420076357,-0.8395116993674866,-0.8379520845512648
-0.013485979097905498,-1.9100845070121086,-1.096041292250839,-1.1659468378962439
-0.25889169981749005,-2.06062714513083,-1.199573066686772,-1.2832805162398286
-0.2737571086455791,-1.899905622212696,-1.2052325364658674,-1.273675911680757
-0.17582550061397473,-2.5940734255684594,-1.1789983152241252,-1.202637007999942
-0.2571680400981263,-1.8629725322240165,-1.2740676267657562,-1.261602152217797
-0.3901203003087863,-1.775959159161628,-0.9742092447689478,-0.9310903472790596
NaN,NaN,NaN,NaN
-0.4101902951630802,-1.9087129568655243,-1.15037562247759,-1.1527202133243653
-0.06749623704801622,-2.161160187645781,-1.138755639449842,-1.1395342983655143
-0.23656706144588185,-2.4257013509741085,-1.2003808039018629,-1.0768109188933215
-0.00624337987021222,-2.1634115833627607,-1.2789024089480885,-1.2696458754099171
-0.14003101541877835,-2.277567255085029,-1.3178233946333648,-1.2189951287566811
-0.269023853477201,-2.566987124378097,-1.3419495435772195,-1.3752566290379429
-0.14002822812100896,-2.4757324359174753,-1.416375703653355,-1.4841835923815156
-0.32838429566184696,-2.6453529287227306,-1.6341594330306337,-1.652057032665662
-0.23222327230109086,-2.6709803811003137,-1.527350003600824,-1.545559776222373
NaN,NaN,NaN,NaN
-0.48666752939487906,-2.56497179100726,-1.5911619845724043,-1.6032738387237373
-0.6332971505017353,-2.7140392483015177,-1.6624104949796803,-1.6237153234550967
-0.7228358825394273,-2.6616054762366153,-1.5734377559347117,-1.512363263839495
-0.6137880089443786,-2.715346043608869,-1.551442987472158,-1.549917832302234
-0.5484041011835213,-2.4968314987589246,-1.5052171775699006,-1.4731018061243204
-0.1730914778696026,-2.617982541654019,-1.341209674468323,-1.3863671485198168
-0.32609258475892355,-2.5753450916519114,-1.4722647716212522,-1.392789981290794
-0.631607783960266,-2.3170274691610637,-1.5118118580038264,-1.5480280321169428
-0.3806079509604075,-2.6482003990943364,-1.6444611414978705,-1.6970374436747648
NaN,NaN,NaN,NaN
-0.9268788571866129,-2.7253845862095254,-1.8778648567144092,-1.9074218295201126
-0.453523935588002,-2.662684487145638,-1.6659553307646082,-1.454206607210685
-0.7837740432814537,-2.4927578512418194,-1.7171637752246576,-1.6283440338220625
-0.8893076661612,-2.567680549070874,-1.6461605959241936,-1.6856208676528177
-0.6841016449282986,-2.6059846124721764,-1.5595618016840498,-1.6163053135053136
-0.6505145883645491,-2.3829343031128083,-1.6856268088630806,-1.7182517717744936
-0.391874906082041,-2.543598865038413,-1.4298922302375345,-1.3434438074879946
-0.2286352911703239,-2.2051822069469025,-1.2878817661145083,-1.3248570406974758
-0.30253618306382335,-2.5945695575918073,-1.269643576215594,-1.2687814362786556
-0.0,-2.5945051876953706,-1.227753363073421,-1.226461985677212
-0.32302454477858805,-2.2986401084272474,-1.2428778065353874,-1.2646133059092683
-0.5488585131958409,-2.5569826029831475,-1.466930336570587,-1.5039841544684345
-0.07922581381544172,-2.5770022423403396,-1.4788089182406214,-1.3799041534795946
-0.4989386765503318,-2.6868012899067875,-1.6608145424241647,-1.6587586776288132
-0.6967015145740608,-2.6742757842216696,-1.6107768687761526,-1.5332719620657058
-0.9133066117396389,-2.5297126815614863,-1.679935695777735,-1.6550406361248569
-0.615211178730232,-2.6146736641910318,-1.5725486857831779,-1.6520421967115582
-0.5217157230320316,-2.542321104278736,-1.6027943325486294,-1.5796767323221057
-0.6015959048625741,-2.3190915367586777,-1.4391226360312226,-1.3245059901859921
-0.0,-2.7225907293694647,-1.5925754516700161,-1.6830029796182124
-0.43512816893357686,-2.5074582098508156,-1.6811440028782425,-1.752060461332924
-0.4102014674487805,-2.700238677052183,-1.5064184357390407,-1.4032358888092848
