minimum,maximum,mean,median,std
-491.6770324364286,580.8690073792765,-105.33978245596364,-102.55667546900742,257.25245721453325
-578.9037325545135,509.51800291924246,-61.295455914821346,-49.58476513438722,238.32795561401684
-625.4450377301152,272.5563088197143,-162.87414698736308,-153.39373039878353,234.138589999073
-703.1161198914812,281.5964133237168,-211.32208916203842,-209.1542416405569,255.03827908546265
-705.3432871329028,428.22927856195895,-258.94262318536096,-305.2792880123133,324.9584841999625
-625.3628657544891,136.96455729379304,-296.3503652406759,-372.7901648124516,271.08444506143616
-708.7081020491016,333.5704151675403,-392.07206221235435,-466.83035706770295,262.7411166697177
-707.8926040286719,179.87694259858506,-452.0181624698037,-537.3782063438489,231.57178830110826
-709.5165390057869,-465.6575836261793,-606.5994515604193,-588.245170437596,85.27475495835812
-710.2235755895053,0.9092974268256818,-610.0350884419081,-696.8691909544157,212.5787648124711
-712.8965464929229,-625.9599511280497,-700.3542646863667,-705.4044578525707,15.997706227042098
-714.0177531211982,-687.261872121931,-706.0777249000031,-707.771824197577,5.986269487318255
-714.8765984866652,-702.169966073322,-709.3197704585394,-709.4625887601912,3.1283584705462886
-718.424691755339,-702.1147684599886,-710.9372561364786,-710.7603246210838,3.5944898214161767
-716.877076955454,-706.591482485544,-712.7835151430336,-712.4722424915572,2.718802105966291
-719.6921631253952,-706.7388414666303,-714.1272367687566,-713.945517262157,2.489298218409897
-720.1075148738553,-710.1513950816723,-714.9896267820633,-714.8392614138212,2.2490806349879855
-719.8657320834385,-708.7538581236854,-716.0218087898648,-716.4793708706936,2.2244863477038797
-720.1079698596047,-714.0617247816011,-716.975731630038,-716.9731535939364,1.6344966743396927
-720.517430953384,0.9092974268256818,-645.6221404375984,-717.2352097532039,219.19749492870585
-721.4075822657105,-713.3649662552812,-717.7593913205229,-717.9395220848236,2.005038952291997
-721.8505513139161,-716.2836993009579,-719.0787725865829,-718.8626089327718,1.6922378342814082
-723.0084167409104,-715.0037114782552,-719.9258895622102,-720.0146772011849,1.7997989828503835
-724.9025242384544,-716.6842531761049,-720.8976390424856,-720.8589270899037,2.0242752731091747
-725.181218746672,-716.4532956146498,-722.058193148635,-722.2176273207297,2.052763910788966
-728.707602242987,-719.8385027243824,-723.5749848136882,-723.502004743121,2.0487212919454283
-727.164084056317,-721.6220057562598,-724.4028694249263,-724.3087648834381,1.5999959916171829
-730.0859518174227,-721.8170399181816,-725.7851595203591,-725.743906969826,2.0804538616567028
-731.1401525201529,-723.9364139633124,-727.0656953268301,-726.8190961341201,1.9796749065429076
-730.4809224700291,0.9092974268256818,-654.7943660171493,-726.7729191333126,222.30945447335029
-731.6781972580045,-725.9779018967497,-728.0827110693864,-727.8874094661571,1.6599584430971326
-732.4475111276486,-724.1083322281339,-728.690428354091,-728.2678074188443,2.307613618195337
-733.92380114056,-725.9849455266282,-730.2412694409734,-730.4334943518791,2.2387071454291587
-734.8449156838024,-728.1340819675695,-731.9095018020081,-732.1816327274814,1.7080913827799968
-735.8932852989951,-728.8253659621722,-732.8573747495071,-733.0115889283813,1.755801094099952
-736.2508385946246,-730.5840567121338,-733.2709513216344,-733.1488067151047,1.5697765694236177
-738.1888137607275,-728.7474240223517,-734.0886121741803,-734.3153569821224,2.353310242071224
-737.1593862354378,-731.7687573776549,-735.0171848989467,-735.3727025451378,1.3641820974776553
-739.4787874058406,-732.8224798403886,-736.0964214901431,-735.9840236119237,1.8126304369122699
-743.1441734975642,0.9092974268256818,-664.2054106616393,-737.546517790861,225.50292966354314
-742.8866961048789,-735.7888467878572,-739.0223603766349,-738.9405470574536,1.8176561825559012
-744.6639602958114,-735.7010331962047,-739.8858387133351,-739.7415358777426,1.9527821506998864
-745.7507637736915,-734.0843809008804,-740.3108287890697,-740.4746319103502,2.213511853270633
-746.4824867446325,-737.1833237759523,-741.2077916382696,-741.1480510104464,2.2021664120893556
-746.7358379745465,-736.7340142409737,-742.1568826280193,-742.2655420014391,2.6100844457752963
-748.1140459070838,-738.7683791583643,-744.0836524566629,-743.7493341301823,2.2953520403102363
-748.9650509631232,-740.4242074448573,-744.6825885059284,-744.5922987740166,1.977083203182812
-750.2379247922223,-739.6680854311292,-745.7952487234702,-746.0641189503074,2.2921284647309084
-750.9115957215024,-742.0014629122195,-746.8568956355209,-747.334280871483,2.129656078026163
-751.3342362288281,0.9092974268256818,-672.9219960646399,-747.3409905059689,228.45503498572594
-751.1391118827354,-744.3336959378723,-747.9277630040136,-747.6871016966489,1.8609520662802703
-752.2092416216686,-745.3053977323448,-749.6464389079465,-749.8387371820379,1.6198663065882217
-754.8318555542087,-746.5813276958412,-750.1437295144357,-749.8804523426819,1.9426598686105625
-754.9909442635002,-747.3334486074127,-752.1313159144406,-752.2408796191135,2.0814761102489907
-756.3248657447868,-749.3668324632542,-753.3238193591654,-753.3247356481768,1.791502506407808
-757.6554610586011,-748.7881003642115,-753.699504383567,-754.053099959104,1.9685919585804001
-758.6812574801671,-749.685386109036,-754.6422270988007,-754.8356767466223,2.151875576330915
-758.625972447378,-752.4648947019348,-755.9804427050508,-755.9965469736644,1.4867160419203393
-759.6072782818433,-752.3300768605923,-756.7393916581156,-756.9144541674796,1.5166800040096045
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
-760.72312650396,-757.1591236643073,-759.0290794484558,-759.0555635228175,1.0116088190729258
-761.6295452160908,-757.188336821941,-759.5643071898011,-759.6175014151556,1.011775911274032
-762.1960785015385,-757.5747761090379,-760.0023174408184,-759.7862944429596,1.0771887510408622
-763.8659272385987,-756.641674583838,-760.4615177814958,-760.2503430993353,1.6668623315889677
-764.228682833997,-758.3019120280577,-761.1191398100979,-761.3525536367906,1.5339492767856793
-765.5991226985348,-759.2713197290454,-762.1825341890813,-761.9438617663304,1.460022952777083
-766.1972455630212,-760.3264647676908,-762.9747350842231,-763.0403352509338,1.3773047710919593
-767.6153891158174,-758.645916355272,-762.9885015766839,-762.7053030485747,1.8391831585844487
NaN,NaN,NaN,NaN,NaN
-767.2622111194585,-760.4851134760596,-764.7086792389508,-764.7411471800342,1.6650234023847919
-769.17421859191,-761.8363206730314,-765.6230602692834,-765.9737183173446,1.94376273364337
-770.49929189883,-763.2939841367945,-767.110511145417,-767.2283312618581,1.877539836326129
-770.0284273734178,-763.21958091999,-767.6271364446224,-767.564273732323,1.6659453008647682
-770.5820167878334,-763.8629266549153,-768.375234629801,-768.4874932774765,1.4087196985613009
-771.602998189627,-767.934047763584,-769.518438667396,-769.4924832223272,0.9172024614463151
-772.575221746898,-768.2673255550136,-769.9138920697338,-769.5760876236906,1.13033230754516
-773.6327340558876,-769.1963802111869,-770.9837202565275,-770.7344184383415,1.3651463243721609
-774.3348301725073,-768.7500484755064,-771.7244956685311,-771.5181229808819,1.6277447440820076
-775.0912868962879,0.9092974268256818,-695.8179997649723,-773.2527467868377,236.2150765082683
-775.6968781949834,-771.299623904936,-773.750276153395,-773.7447673251502,1.074797227413235
-775.9467968738609,-772.137644183624,-774.2100586991722,-774.3246913389303,0.8949987329536795
-776.1956249189931,-771.6919492418449,-774.4586016393524,-774.496896724416,1.1565569690813433
-776.7101615881086,-773.0835900126774,-775.0856213148093,-775.2380155785644,1.0387320838263545
-777.5000815514964,-774.2838131445988,-776.0029290052676,-775.9818428178493,0.8097018146381924
-778.0677604600664,-775.1746707964318,-776.3528865487541,-776.2384185764827,0.7204667693777457
-778.8596362453484,-774.9331546131468,-776.9148577468428,-776.9872217655798,1.1068052220982292
-779.3192820284702,-775.5990638963347,-777.600617192494,-777.5056574130442,1.0374278068878304
-779.6677333514731,-775.9289871025097,-777.781636535281,-777.6766424617614,0.9445797522774522
NaN,NaN,NaN,NaN,NaN
-780.275748043454,-776.6983809656608,-778.6694411081487,-778.6274077257085,0.7722578278916866
-780.851017857201,-777.5117867417426,-779.1507180642358,-779.1957299590324,0.9660352947265644
-781.0406432912912,-777.8880373304299,-779.7474881385155,-779.7835317345422,0.8679127846319948
-782.3671183037889,-778.8552577542205,-780.4913555253423,-780.4530237357859,0.8828179931662172
-782.7837180474141,-779.4123641515791,-781.1713417102437,-781.1466525879534,0.9129379428426665
-783.5072490408495,-780.0489612365966,-781.7326259702726,-781.6665403055367,0.8349235252594503
-783.2804470709557,-780.9060379892707,-782.2546737127402,-782.3643832055309,0.6255363208929903
-784.0341179063805,-780.7847190528096,-782.5414353007429,-782.7085875465386,0.8257570397011172
