minimum,maximum,mean,median,std
-586.0449209887104,452.6080554693609,-112.92475030101097,-146.37957456641925,248.37015229457495
-602.4212889321873,371.22568708340816,-206.81858542144127,-226.03938287741408,292.46795146569065
-601.3966134239049,575.4211699017953,-267.66424913057455,-346.8824218081537,298.5429331736171
-575.7685469493,262.04999224150555,-287.72763783995447,-397.24165826645066,264.1066490416363
-574.0850315988246,579.5997684051624,-282.8926287728968,-397.2166171498632,306.30244838759455
-580.5508953150136,744.7724186974327,-242.22806139268553,-329.52938907228815,320.9940532883674
-582.1579393721947,679.1888375668369,-312.65519099737713,-494.9418982921145,318.3945568143777
-587.2189729551229,216.92405568142203,-299.358108304025,-476.2149884018452,300.59648845716555
-585.609468906435,682.9250184471405,-245.75393696124013,-476.3336074637824,411.14940144780576
-582.7774111816841,85.97597571411268,-356.26985352210255,-468.9413373564439,256.39535176454336
-586.2679153018917,679.6256503238066,-308.4029460051079,-475.3340856179556,346.7705111742945
-592.1949212497166,546.1846761412296,-452.08405472583564,-564.8295220889719,237.7147887138527
-597.4931925021594,-72.84572646004162,-536.7874935370616,-578.391416362672,111.62670448966834
-599.3666005319892,-455.29700745551963,-582.3621879568524,-586.59523556986,25.284303321873473
-608.7796945070354,-567.1371300004388,-590.6833654550785,-590.4588342964394,9.581871691272253
-615.5435942617355,-576.6280451101891,-595.4882666489116,-597.5333088573208,9.11970402254948
-617.0106509340712,-585.478135498407,-601.0945904688156,-599.8375265708047,7.203355601362444
-619.4806730657782,-591.9695551491902,-604.9194847301753,-603.5835678335565,7.502924063390507
-627.8895979385754,-591.3391662363221,-610.0452001378245,-610.5536548306468,9.363154366478602
-769.814724518382,-599.4121702007677,-631.5183804207101,-616.95473672553,46.49530413023861
-769.9469084934244,-279.2277917844595,-565.2511234074474,-616.5528466414813,133.21483461870758
-651.4909593272059,-352.5069531312854,-615.4611760365349,-631.4359606146076,58.12702590666871
-663.3812277152383,-613.5643815276908,-635.6801587307813,-637.1912827277716,11.874835475868672
-664.7996612659803,-601.8551455612143,-641.5765899708434,-642.3077231692122,15.2613066640699
-665.8039831920341,-634.6481479688966,-651.9929692951413,-652.920613875415,7.860384826127091
-677.2693614357524,-640.6276412943057,-656.2307471194397,-656.0130601264289,9.247382750868784
-676.5989075584955,-646.4640423657445,-663.600304746973,-663.7338489880639,7.882102546149368
-677.6638860292331,-652.8799712030508,-665.5080430851723,-665.8586257981899,6.035505909943081
-691.9300383377218,-650.9420565552916,-668.6820115466654,-668.3051359897518,8.168518437989368
-773.7137849393591,-665.35781192326,-686.4909456637813,-678.1630608915904,30.244951698634225
