minimum,maximum,mean,median,std
-566.6496872444058,394.29290154982857,-117.8268194376149,-117.37252607321284,209.84678919111664
-676.4889137001453,361.78624379568726,-210.8268936729672,-156.72898458850926,229.80386730542762
-679.4283489969025,860.2606729085771,-164.00394783014139,-143.8209763584312,338.77771979057843
-704.8668249951193,634.6772945327815,-231.83776379822206,-289.1239362148372,314.8828100317334
-678.7302084618752,316.3789263247592,-303.69851921128134,-343.93092619976284,282.85133311366525
-710.1459449514357,-17.136125037228,-410.4192115326757,-417.71672695387383,159.12614930528974
-752.3687706925588,316.97209590762554,-455.88645962435237,-491.3079941910611,192.95099379356992
-710.2262417413754,-42.60666791211817,-434.3798517418453,-467.93403348007337,172.60855668701987
-705.6911900408786,-34.57802337576163,-464.5604189040789,-515.1826982799807,178.72813446687357
-704.957712293223,-462.75191684056506,-559.7475201427352,-527.0075326137612,70.77856276161951
-708.6085748441117,-41.43425472421788,-568.2460325697119,-596.3676602043552,158.38423135341336
-724.2111857930192,-516.2302370791458,-623.2288641388984,-647.8638589613277,71.00159159437938
-721.1519496612307,-516.0676154523092,-653.0452110417306,-675.0072146184802,57.972863001924054
-727.7928919962133,-47.40571095001117,-659.1722903890654,-687.3813233833421,120.11087356297809
-727.1829846969265,-641.1453306858763,-695.3789673555071,-694.2281946653545,19.730819949751268
-734.925204218559,-677.2522749618349,-705.9082022209926,-703.3676418716547,14.70149917792926
-732.3500616861597,-683.814656867977,-712.2529549397533,-717.6666619110482,15.780248677922946
-741.5148757672519,-694.6270945078302,-723.519525087312,-724.9997994293841,10.07741435727298
-741.4246401560744,-708.164365561623,-727.1573651163683,-728.5912774473613,8.932103032938402
-749.7933346356465,-493.4745563285571,-710.2120737283633,-732.6436872005644,73.37407158724481
-746.7910716831897,-711.737321646326,-735.3780430909792,-736.1904649478512,7.777696602948968
-755.833270751114,-723.1724302960997,-738.2656354505501,-738.0422434832988,8.649613855015872
-756.4342986083182,-730.0308916985031,-744.2283768738037,-743.9951212072885,6.7213771544073
-762.2197561684336,-728.7780278643537,-748.1736876922205,-748.3766897450184,7.14281184164691
-764.101024484987,-737.3252681077972,-750.3353666922667,-750.8278855545722,6.974753314866938
-766.1245084503612,-736.7317773006232,-755.4355524619345,-756.7364200768793,7.015567552209429
-768.8629519692042,-737.3226223588963,-756.964975869748,-757.1840442453386,6.776926043339871
-770.3149897094189,-749.2693744349451,-761.3758907453703,-762.0565852187176,4.958689584862972
-771.641261567454,-753.4782658785246,-765.0216019752778,-764.5682425660012,3.6764227872076423
-779.059091063972,-498.0804888322728,-742.1568308858522,-768.786711010548,82.52608596246846
-781.972013226218,-763.690811242364,-772.0771486853023,-771.5509693057318,5.394277883277151
-783.827959003519,-764.1214132238364,-775.9491718100907,-776.5737794885588,4.874073544826666
-786.0693326657106,-767.655878756527,-777.9369145157727,-777.8168154409414,3.9303107183417
-790.9816211760966,-773.1865621353207,-782.860171884199,-782.9655146966047,4.19795060419864
-793.8812925970481,-777.6001026761428,-784.4709038249663,-784.6342719397283,4.086320135858673
-795.3992419778674,-779.1997878404258,-786.3933347308014,-786.7123945867091,3.977122138442293
-796.6284184481262,-779.4549720155244,-788.6328534938079,-788.8968597033819,4.322419598497709
-804.9965671441387,-783.9873530584536,-792.3378841490045,-792.9567889051777,5.057583611748994
-808.2218862839575,-784.1213995119014,-794.0344903405861,-794.6235716892076,5.165317084674558
-810.2187888210626,-502.4766266029375,-769.1097352557903,-797.331552676442,90.34290400723343
-814.7460667958176,-656.1087186814191,-796.9573609894917,-800.1538439575742,27.10587586644721
-815.71349051909,-792.9459484075876,-805.646421350257,-804.6466057174368,5.626096365774443
-820.7919995354474,-795.8350638217532,-809.8611958648448,-810.0185124263076,5.507473678360341
-820.7441243286099,-797.6988697918459,-812.8112372050399,-813.7738126130182,5.880556965112929
-822.7211014387494,-796.8473371870527,-814.690832882099,-815.8035140738708,5.834604406915208
-827.9183587914312,-804.6288764923496,-816.8922796701297,-816.9212356790748,5.197935616396029
-830.7001319666692,-810.4631728961158,-819.716650824527,-818.5605773212505,4.957426100147907
-836.8294439727923,-811.1928296929752,-821.5474050463894,-819.6529152935605,6.065073034078203
-840.0974540379534,-814.9850070070479,-826.1809641476461,-827.6413919783772,7.33151468504267
-843.360157052912,-503.75143860583745,-797.5824522090045,-829.2520880185001,99.68546850551355
-845.4548439757082,31.386268502460723,-793.2610533282585,-832.4146347462543,167.04152473775508
-847.4869022021294,-817.0584782289346,-836.0913382516368,-836.6662021399054,6.887960088463049
-851.1954635286829,-826.6589340887108,-838.909470924511,-840.0749101027027,6.028367797320078
-849.2900465022075,-827.1784655014811,-841.2718113277791,-842.6277752081619,4.355806436470112
-849.866020203958,-838.4786278120986,-843.3344942081748,-843.2697229254564,3.3382164991668795
-854.4675061419266,-835.0449559251645,-844.6908351789615,-844.891762953611,3.98543439236827
-853.5988511941351,-831.2774695206324,-846.4423487504775,-845.9944655799329,4.3793947130444995
-858.3275971956323,-840.9842073178979,-848.5437762410924,-847.8224241522042,4.126905561681757
-858.6590636713853,-839.9976760500341,-850.4777241359255,-851.5262907477139,4.622074219540805
-861.0651297387486,-504.94779471557626,-818.853477122838,-852.7601385062799,106.44725239237147
-861.6666254813867,-96.28343696169551,-829.7817660428651,-855.0687785576645,138.57002210744827
-862.8355261558888,-95.52287444890513,-831.2496831808311,-856.265477366077,138.9883370471508
-865.5530388484253,-849.1206271632195,-857.5250213232187,-856.9665447507758,4.565139713254541
-867.647910433911,-849.1534680891382,-860.6805270272414,-861.1409490692675,4.433864170156476
-870.2507690323707,-855.1681277987375,-863.1927265282045,-863.6691444513667,4.187617418953688
-870.7894042195767,-860.1513838380934,-865.9337219781354,-865.6457931567335,2.7275078072916736
-871.3999000376915,-860.7692941038467,-866.534484418939,-866.413531420508,2.6385220809886016
-875.9257790800757,-863.0088604736588,-868.4749710471555,-868.5495137475384,2.859223839402704
-874.3657474588451,-864.5042915929575,-869.5054233337748,-869.8960241453187,2.2289342027346732
-875.6526872951505,-505.42759853889345,-834.1075805976253,-869.5980963790457,111.43078700722397
-878.0317645066509,-866.9454307167684,-871.4276152941802,-871.6760758739306,2.2882793961789414
-876.6490333500628,-868.3700036866792,-872.7615609562151,-872.5706226223186,2.0616164693478862
-879.3824701591765,-869.5239242117138,-873.9266085410022,-873.7548568764963,2.538028128699672
-880.8012427389908,-869.6492005479925,-875.8137229439652,-876.099338886735,3.088707510845828
-881.2662896837683,-871.0913764415477,-877.6166625308323,-878.0180828403119,2.34140101849917
-882.3958526543015,-873.9617718131419,-879.2881259384536,-879.5535643147352,1.806500036821092
-882.9521439008751,-876.0972155774149,-879.5348999201439,-879.7818421190442,1.9208619831266955
-884.0136163996028,-876.6212161602336,-880.5643757323339,-880.7091104193587,2.0178484906929506
-884.1273239679894,-877.445980451779,-881.3336004733779,-881.5258482753386,2.048072399450924
-886.1156873485329,-505.3504760210975,-845.6206582933843,-883.3453659194572,115.24515363105974
-886.7560598270691,-100.64729293035214,-858.2620388836468,-884.6108553471298,143.10387427599767
-887.514357645658,-878.2416896749905,-885.3544032969579,-885.5683865117285,1.6143943700581913
-887.6478077242704,-883.1853312542278,-885.8064629399037,-885.8327245047757,1.0532279223443708
-888.6693558912074,-881.679841920045,-885.7383056849211,-885.7637646938936,1.5144125933427306
-888.9776770349615,-881.3204480662795,-886.2042896950752,-886.6010953320107,2.0016434060900523
-890.3250555478162,-882.9025380860136,-886.5350502659335,-886.2898819057791,1.714703891318556
-890.0953293949569,-883.1958941652721,-886.7565237450779,-886.390387772644,1.6013882594526927
-890.9810486992474,-885.0939348360425,-887.8506640625516,-887.9365393862876,1.6041664734287715
-892.3233382684004,-886.2028284624116,-888.8353358840501,-888.8224474680588,1.4925234611069165
-893.2891203756391,-506.08144620002713,-851.7885182204249,-889.804587180841,117.18723306321677
-892.9605222763755,-887.7379152011274,-890.7163726553382,-890.7623689874204,1.1730673465885075
-893.4540269172187,-888.9789886301785,-891.5235842508853,-891.6503050487449,1.148858563491512
-893.8148873073974,-889.2345474225714,-892.1606832440066,-892.4197902118264,1.1729600879591424
